customer_id,customer_name,customer_size,city,signup_date,account_manager,industry,payment_terms_days
CUST1000,Apex Retail Ltd,Mid-size Retailer,London,2022-06-13,Tom Bradley,Beauty,60
CUST1001,Blue Trading Ltd,Mid-size Retailer,London,2024-05-15,Mark Thompson,Books,30
CUST1002,Coast Direct Ltd,Small Retailer,Bristol,2022-11-02,James Wilson,Fashion,30
CUST1003,Delta Commerce Ltd,Small Retailer,Leeds,2024-06-28,Tom Bradley,Beauty,60
CUST1004,Echo Store Ltd,Small Retailer,Manchester,2022-06-28,Mark Thompson,Electronics,30
CUST1005,Flair Goods Ltd,Small Retailer,Manchester,2024-07-09,James Wilson,Other,30
CUST1006,Grove Supply Ltd,Small Retailer,Bristol,2023-12-29,Priya Patel,Home,60
CUST1007,Halo Market Ltd,Mid-size Retailer,Manchester,2023-06-25,Priya Patel,Fashion,45
CUST1008,Iris Hub Ltd,Large Account,London,2022-09-10,Aisha Rahman,Fashion,30
CUST1009,Jade Co Ltd,Mid-size Retailer,Birmingham,2024-06-03,Tom Bradley,Fashion,14
CUST1010,Kite Retail Ltd,Small Retailer,Bristol,2023-05-11,Sarah Chen,Electronics,30
CUST1011,Luma Trading Ltd,Small Retailer,Birmingham,2022-04-28,Priya Patel,Other,45
CUST1012,Apex Direct Ltd,Small Retailer,Leeds,2023-01-02,Tom Bradley,Beauty,30
CUST1013,Blue Commerce Ltd,Mid-size Retailer,Birmingham,2022-10-21,Sarah Chen,Food & Drink,30
CUST1014,Coast Store Ltd,Small Retailer,London,2023-05-24,Tom Bradley,Fashion,30
CUST1015,Delta Goods Ltd,Small Retailer,Manchester,2023-10-25,Tom Bradley,Electronics,30
CUST1016,Echo Supply Ltd,Small Retailer,Birmingham,2023-05-02,Tom Bradley,Home,30
CUST1017,Flair Market Ltd,Small Retailer,Manchester,2024-04-02,Mark Thompson,Food & Drink,30
CUST1018,Grove Hub Ltd,Small Retailer,Manchester,2022-07-28,Aisha Rahman,Fashion,60
CUST1019,Halo Co Ltd,Small Retailer,Glasgow,2024-05-10,Mark Thompson,Food & Drink,30
CUST1020,Iris Retail Ltd,Mid-size Retailer,Birmingham,2023-01-03,Priya Patel,Food & Drink,30
